,BOS,ANC,JFK,LAS,MIA,EWR,BJC,TEB,LAX,AEX,BFI,ELM,GEG,ICT,PBI,PIT,SFO,VCT,IAD,ABE,AGS,AVL,AVP,BDL,BHM,BNA,BTR,BUF,BWI
BOS,0,1,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANC,1,0,0,14,3,2,10,0,0,7,0,0,0,0,0,2,5,6,0,10,0,0,0,0,2,0,0,0,4
JFK,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAS,1,12,1,0,10,8,0,0,0,12,0,0,0,0,0,2,9,11,0,7,0,0,0,0,2,0,2,0,9
MIA,0,3,0,9,0,1,5,0,2,20,0,0,0,2,1,1,2,14,0,3,0,0,0,0,1,2,3,0,1
EWR,1,3,0,10,1,0,9,1,1,4,1,0,0,0,0,0,1,3,0,3,0,0,0,0,1,1,2,0,0
BJC,0,8,1,0,5,8,0,0,0,8,0,0,0,0,0,6,6,9,0,11,0,0,1,1,2,0,3,0,3
TEB,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAX,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEX,0,8,2,12,18,5,7,0,0,0,0,0,0,0,1,0,2,16,0,10,1,0,0,0,0,0,2,0,0
BFI,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ICT,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PBI,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PIT,0,2,0,2,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0
SFO,0,4,0,10,3,1,4,0,0,2,0,0,0,0,0,1,0,2,1,8,0,0,0,0,3,0,0,0,2
VCT,0,6,0,11,13,3,9,0,0,19,0,0,0,2,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0
IAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABE,0,9,0,8,3,3,13,0,0,9,0,0,0,0,0,0,9,8,0,0,2,0,0,0,5,0,4,0,3
AGS,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AVL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDL,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHM,0,3,0,1,1,1,5,0,0,0,0,0,0,0,0,2,2,0,0,7,0,0,0,0,0,0,2,0,0
BNA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
BTR,0,0,0,0,2,2,2,0,0,2,0,0,0,0,1,0,2,0,0,3,0,0,0,0,3,3,0,0,1
BUF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWI,0,4,0,9,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0
